"","chr","pos","lod"
"AY106592","1",257.82,6.5768352062787
"fad8","1",259.04,7.44288841949128
"gpm121","1",259.55,8.26277511466105
"AY110640","1",262.74,18.436839596443
"gpm357","1",266.43,21.2766139198902
"gpm101a","1",267.73,17.8829449571786
"IDP3865","1",268.94,17.9736683291849
"umc13","1",268.95,17.9735194074219
"gpm567","1",270.13,17.8701741550685
"asg35b","1",272.25,10.6838517119431
"gpm63b","1",273.2,10.6716723163572
"gpm498c","1",276.24,5.15029875342225
"AY110632","1",276.45,5.43929057596324
"IDP875","1",277.67,8.69611994764091
"AY110240","1",280.7,8.23273124937259
"ndp2","1",280.95,8.48022564539679
"mmp23","1",284.55,0.88717381830611
"AW400087","1",285.55,0.879973172592145
"ndp1","1",286.95,0.0995646210758423
"bnlg1866","1",288.45,0.00127440061987727
"umc1880","1",288.65,0.00177872521271638
"umc1598","1",289.05,3.14180932650015
"lim432","1",290.75,3.73398943083703
"AY107489","1",293.99,6.16921622512564
"gpm28c","1",294.93,6.17944297882423
"mmp151a","1",295.55,1.07270461273583
"AY110393","1",301.15,1.77950066750054
"mmp100","1",309.75,2.35591221093455
"umc2145","1",317.35,2.03285664226678
"mmp56","1",319.25,2.60778896864213
"cdo938a","1",321.45,2.18225828214054
"bnlg2238","1",325.05,0.262279294291147
"gpm898","1",326.83,1.35039215816505
"umc2124a","1",326.85,0.40700936963367
"sus2","1",327.41,0.243023099461425
"IDP1489","1",328.78,0.479293647378654
"umc1849","1",333.35,0.204138452847474
"asg75","1",334.85,1.6455007213699
"gpm364","1",335.61,4.05849702960222
"sod4","1",335.85,4.03219025881481
"chr125b","1",338.56,3.99531335948996
"asg30b","1",339.05,3.99533213358518
"IDP739","1",339.06,3.99531767582266
"IDP182","1",342.96,6.62575923831537
"AY110330","1",348.96,1.87536390208334
"IDP1411","1",348.99,1.86661856514365
"gpm492","1",351.93,8.26759165926342
"csu207","1",354.36,5.68706507460956
"gpm933","1",355.89,15.5570097646123
"umc2227","1",359.26,2.26036181163363
"IDP2553","1",364.8,0.404722794095505
"ufg13b","1",367.56,1.83416298144948
"ufg77","1",371.56,2.87146993185161
"umc1917","1",373.16,10.256929822046
"isu041b","1",375.56,3.06167048126918
"ufg43","1",381.96,1.0535602544096
"bnlg1811","1",384.76,2.22848389901628
"IDP1953","1",387.66,15.2330612062724
"IDP99","1",389.16,15.233055675204
"dupssr26","1",389.48,15.2571712514782
"umc2228","1",390.16,10.6475602699793
"IDP252","1",391.54,9.93693299640654
"gpm815a","1",391.64,9.94211762282248
"gpm251","1",393.19,9.86633331817211
"aoc1","1",394.51,22.3886979586096
"umc2229","1",395.66,16.9841402159509
"gpm850c","1",395.95,16.9873402328267
"bnlg2295","1",396.56,16.9839887789076
"gpm181","1",397.33,16.983357237752
"gpm532","1",397.34,16.9833558779974
"gpm198","1",398.44,16.9893920155373
"IDP376","1",398.98,16.9842897746366
"bnlg2086","1",399.57,16.983914430506
"umc2112","1",399.67,16.9843395866446
"asg3","1",400.27,16.9839868071704
"IDP1986","1",402.87,16.9282125486552
"csu3","1",403.37,16.9165254916334
"gpm305","1",405.38,16.8887166498316
"IDP1605","1",409.13,16.04902572231
"IDP751","1",410.97,19.8531202600479
"mmp61","1",410.98,19.2722677382189
"lim497","1",412.08,19.4510451126607
"umc2025","1",415.38,29.9961501007601
"mmp39","1",423.58,8.81304041857584
"umc1515","1",428.98,5.42838071976985
"myc7","1",429.58,8.10137641660913
"IDP1457","1",430.79,0.872513457105015
"gpm104","1",431.65,0.873217975035004
"gpm787b","1",431.73,0.873471988110396
"AY111680","1",431.98,0.871844390268961
"IDP2367","1",432.06,0.870174768695506
"IDP2412","1",434.36,0.873768014344023
"gpm429c","1",434.37,1.14578024927869
"AY109678","1",435.68,1.74799142433221
"IDP194","1",435.73,1.74786376140219
"mmp143","1",436.28,2.36596927145547
"gpm540b","1",437.09,0.854362195856083
"csu1138","1",437.38,0.961133002716451
"rz323a","1",437.68,0.790699370787479
"AY106439","1",438.38,0.839788384164422
"gpm519","1",438.44,0.839088046548568
"IDP676","1",439.48,0.791456563720203
"mmp101","1",439.58,0.791400905267437
"IDP2551","1",441.56,0.220848751439917
"IDP1407","1",442.3,0.221865107410849
"AY110396","1",443.88,0.299766058680689
"umc1626","1",447.13,6.50202405944947
"umc1676","1",449.18,0.292391508522996
"IDP1675","1",449.2,0.289299856107391
"umc2231","1",451.88,9.68781829199179
"umc1703","1",452.28,9.47164730375516
"AI855190","1",463.08,15.6889062967221
"IDP653","1",464.32,12.4037081327497
"IDP34","1",464.33,12.4037070759878
"umc1906","1",465.39,6.39312431010148
"umc1903a","1",466.29,6.6261970664691
"mmp124","1",467.79,7.88718290889483
"umc2232","1",469.29,7.87087630104179
"umc1395","1",470.09,4.83524349232903
"umc1321","1",471.59,8.82849184706356
"umc2233","1",472.89,8.82456243601155
"umc1603","1",474.29,9.0393832718928
"gpm692a","1",474.55,9.12117104775461
"gpm29","1",479.54,8.960665772227
"gpm349","1",481.2,3.06889952801066
"gpm150b","1",483.14,1.51121881980544
"uaz276","1",484.29,1.51378615987414
"IDP2452","1",488.4,0.567327155649764
"gpm931b","1",488.95,10.1861166206781
"mbd106","1",491.44,1.78944174607568
"gpm618","1",493.66,1.88135052652433
"umc67a","1",494.99,1.79292204239937
"IDP386","1",498.15,0.000828118420031387
"gpm229","1",498.41,0.161614644488509
"gpm4","1",498.42,0.161648130686444
"umc1972","1",501.7,6.17952543360116
"IDP741","1",503.17,6.72093784750723
"IDP4037","1",504.06,8.77939621121004
"IDP4052","1",505.7,4.84387038219575
"umc1812","1",506.6,3.5891079964349
"IDP1703","1",509.1,0.0323758626618655
"myb6","1",513.1,0.616818689612046
"umc1590","1",515.4,3.84062765101589
"AY109499","1",516.1,3.32939492388141
"AY110566","1",517.3,0.0349050094973791
"bnl5.59a","1",518.8,0.0260461854013556
"IDP846","1",520.8,0.007772187835144
"php20654","1",521.7,1.00807989482018
"AY110296","1",522.3,1.34820692606991
"asg58","1",524.1,1.93638503915099
"umc1811","1",524.8,1.67790497650276
"bnlg2057","1",526,0.605603059204441
"umc2234","1",527.4,0.748832188066444
"mbd119","1",527.67,2.30252080574792
"bnlg1598","1",531.2,4.83796938551859
"umc1123","1",533.5,4.60115866893466
"AY104360","1",539.7,0.598979266971583
"mmp156","1",542.6,0.0209937411818828
"bnlg1057","1",546.7,0.242949567049436
"umc1396","1",546.8,0.238565173911411
"nact15","1",547.22,0.241919943944595
"umc2235","1",548.4,0.478026781063818
"umc1748","1",552,0.277048962787376
"umc1919a","1",554.2,1.61213584015604
"bnlg1615","1",556,0.0295548031863291
"csu805","1",556.9,0.139561939344276
"gpm688","1",557.88,0.144403586808039
"gpm894","1",557.89,0.144110685363557
"gpm169","1",558.46,0.0584511933902832
"AY111153","1",559.41,0.0169693532607198
"gpm906a","1",559.45,0.373174562868371
"gpm906b","1",561,3.19250314669625
"IDP168","1",562.02,0.0309816959270393
"umc2151","1",562.31,0.262249587536644
"IDP2465","1",568.93,0.225891832640627
"ntf1","1",569.21,2.50385813615685
"umc58","1",574.31,3.40569427588525
"asg16b","1",576.61,5.88315369988231
"IDP790","1",581.55,0.11019452911205
"IDP4057","1",582.07,0.110098394676243
"IDP438","1",585.41,2.59598484156231
"IDP295","1",586.3,2.24666601603894
"umc1709","1",586.61,2.25012416474237
"php20644","1",588.01,1.47248610364659
"umc1924","1",592.21,3.07348377480776
"ufg50","1",595.91,9.75979492770966
"uaz147b","1",598.41,9.33617204312395
"gpm136","1",601,0.0513572807449236
"csu1132","1",602.21,0.103201948972128
"umc2236","1",603.21,0.071878652279338
"umc1925","1",604.91,0.0101973299078963
"asg62","1",605.71,0.0121373143429082
"IDP1972","1",606.8,0.0938473804817477
"gpm260a","1",607.21,0.52155702449636
"gpm820f","1",608.19,0.766713571569198
"umc2237","1",616.91,6.36836576530732
"umc2239","1",629.01,19.4651089656963
"gpm192","1",630.33,16.7357914768982
"gpm96","1",631.43,5.82208991498374
"umc2238","1",636.71,5.87761572034651
"IDP1656","1",637.8,2.75377119413497
"IDP716","1",639.93,2.75983483839263
"csu374b","1",640.71,4.01637034879423
"IDP198","1",644.4,4.01850068319436
"bcd98a","1",647.91,2.93050578395196
"umc1358","1",651.81,0.0393267393847054
"AY111834","1",655.11,0.650917729262801
"bnlg1556","1",657.01,0.834966017791885
"gpm420b","1",659.31,2.88958041658952
"dmt103c","1",666.14,8.02410450459865
"IDP243","1",667.72,5.22406484109342
"umc23a","1",668.61,7.28421447032451
"IDP3873","1",674.22,0.0669002634404023
"gpm852","1",678.16,4.30551644776097
"hmga102","1",682.49,2.28788201102543
"gpm802","1",683.08,11.7675177522142
"lim442","1",683.61,4.91675832123656
"gpm440","1",687.81,1.26657976272509
"gpm415a","1",687.82,1.06855788518078
"gpm63a","1",687.83,1.06895982794777
"IDP856","1",691.85,1.25617328211592
"mmp173","1",692.03,1.80492301709819
"php20661","1",698.33,1.71383641572902
"bnlg1025","1",698.93,1.69151501962551
"IDP644","1",698.96,1.73267867025424
"bcd207a","1",701.93,0.82475921553123
"AY110356","1",704.83,18.826655514049
"umc1128","1",709.93,5.5440372559824
"IDP640","1",714.62,7.60736045120757
"IDP2492","1",715.86,3.01848850336501
"bcd386a","1",716.23,3.0185653425051
"bnlg1564","1",716.93,1.81892377632903
"IDP820","1",717.45,1.48019740651398
"npi447a","1",718.73,0.583020142026726
"phi002","1",719.33,0.565630053295536
"umc1245","1",720.33,0.484534753381013
"AY105132","1",720.5,0.471243057780157
"IDP1982","1",720.51,0.471038539537403
"AY110159","1",720.74,3.44255388748388
"umc128a","1",720.84,3.52808340032425
"umc37a","1",724.54,0.0369627580184897
"AY110313","1",733.64,0.187608433965579
"IDP126","1",736.62,0.289514580474133
"AY110191","1",738.84,21.166698350029
"cdo98b","1",743.14,5.52491771301538
"umc1998","1",746.34,8.91688882041854
"mmp99","1",748.44,8.15211921515402
"gpm389a","1",750.71,18.9237007379688
"bnlg2228","1",753.64,22.7729988208339
"umc83a","1",754.94,22.2758875526306
"lim254","1",758.74,3.18960594786404
"chr124","1",760.64,3.07425965212133
"npi120","1",764.34,1.68400322831621
"ufg61","1",766.67,0.181927560977783
"bnlg1643","1",766.98,0.129859730384851
"umc2080","1",767.84,0.859550949093318
"umc1955","1",768.84,1.06978748720212
"gpm819","1",770.49,1.58866832801868
"gpm243b","1",772.83,0.631828076704551
"umc2181","1",772.94,1.43550139568833
"IDP707","1",773.76,1.12117389102423
"umc1838a","1",775.84,1.12186507020851
"IDP512","1",776.78,0.27681383493109
"umc1446","1",780.04,0.100903567743444
"umc1928","1",781.64,1.56545996971363
"mmp22","1",783.14,1.5924000004452
"IDP669","1",783.74,1.59446949517951
"an1","1",783.75,1.63777343534821
"IDP3997","1",785.84,2.00776246737587
"sdg123","1",791.85,2.5155733695301
"gpm547c","1",794.32,3.65678486517027
"umc1991","1",799.15,1.79828715167423
"IDP1468","1",800.91,0.608896536376051
"gpm608","1",802.41,3.51741440796104
"umc1383","1",803.75,3.51189844249711
"umc2240","1",804.95,7.9487936735768
"umc1914","1",808.35,11.367186157393
"AY106137","1",808.46,10.9639471664577
"IDP630","1",808.81,11.0352645756666
"AY109506","1",809.45,11.6538085547818
"nfc103a","1",809.71,11.3379707979639
"gpm838c","1",810.37,9.56298006968973
"cdj2","1",810.75,6.00675052865336
"ufg53","1",813.65,8.80320972983282
"IDP3841","1",816.54,8.18647862637044
"csu696","1",819.95,9.77039935962785
"rz403","1",824.25,14.6128665710748
"IDP3803","1",827.04,13.8431872155033
"chrom7","1",831.45,12.7811077507704
"glb1","1",837.75,11.0507376173027
"umc2047","1",840.75,12.0414689884565
"IDP2516","1",841.93,12.0302074377541
"gpm138b","1",842.79,14.9022964339856
"IDP3798","1",843.45,12.4051662271304
"umc140a","1",844.55,17.4870084434369
"bnlg1331","1",845.45,13.4399707716075
"AY110452","1",853.85,16.7095083711993
"IDP3993","1",857.65,8.40365993019259
"gpm129","1",864.62,11.6849859037302
"AY112283","1",867.66,8.65408466009285
"IDP2347","1",870.75,10.001258574026
"IDP340","1",872.97,11.5226648971675
"d8","1",875.24,11.5269333174128
"mmp195d","1",878.15,11.9863671906151
"tb1","1",881.15,11.2259125316796
"gpm350a","1",883.48,0.118733991608678
"IDP437","1",885.15,0.0166647057267255
"chb101b","1",886.32,0.097656561387339
"IDP3977","1",888.35,0.0110203084968816
"AI665421","1",888.36,0.011067333034589
"AY110019","1",889.36,0.264582966206945
"IDP1636","1",889.37,0.264588492742405
"gpm266","1",889.75,0.264625964715378
"gpm277","1",889.76,0.264606513563194
"bcd808a","1",890.17,0.091758314116305
"gpm801a","1",890.35,0.0917130936013564
"gpm660a","1",890.57,0.0917086981735338
"nfa103a","1",890.58,0.100586336653578
"umc2189","1",890.68,0.182535141168046
"gpm521a","1",891.3,0.16342275988427
"gpm663a","1",894.95,0.489734721808418
"umc2149","1",897.18,0.697511267602749
"AY104234","1",897.19,0.683494077979049
"mmp83","1",897.69,1.04687745478077
"IDP527","1",900.59,0.423527253693464
"adh1","1",900.6,0.425327407681834
"gpm85","1",902.62,0.478327676106346
"BE639426","1",905.6,0.10130001590187
"gpm862","1",905.85,0.0701904397974431
"hxa102b","1",911.9,0.0663575547605433
"mmp172","1",913.7,0.0599614137991011
"npi407","1",915.2,0.185538902756889
"vef101b","1",922.53,2.58172313960131
"lim99a","1",924.8,0.172135184584477
"npi282b","1",926.4,0.225364573176194
"IDP1420","1",928.48,0.960827510964009
"lim78","1",929,0.892554773383381
"gpm623","1",934.56,2.06991956837192
"mmp165","1",938.2,14.0024801104864
"IDP3843","1",940.48,7.92666280327649
"mmp87","1",940.9,7.92347161227735
"IDP2395","1",944.11,25.191971699116
"lim39","1",948.7,25.1726803004967
"gpm610a","1",949.3,21.1048351231821
"bnl7.25a","1",949.7,21.0542909172709
"gpm164b","1",949.97,23.6811683856959
"IDP195","1",950.91,26.804804492127
"IDP2450","1",951.38,42.5320364238705
"IDP823","1",951.82,33.7985257591117
"umc257","1",961.7,34.8672322878519
"AY109834","1",968.5,34.8923028741901
"IDP870","1",971.46,35.1344780277395
"AY110426","1",985.8,16.2521640461982
"ufg14","1",993.5,33.2120514211492
"IDP3913","1",999.38,41.3385971772477
"mmp195g","1",999.4,41.3333361648602
"npi238","1",1004.6,40.0782104302325
"jpsb239b","1",1005.1,40.1547608551737
"IDP1975","1",1006.1,41.2888030490394
"IDP3856","1",1010.93,29.1471001234204
"gpm217a","1",1014.67,29.6035167065165
"umc1129","1",1017.6,24.2015343060175
"IDP691","1",1018.18,24.2072097588225
"bnl8.29a","1",1019.9,24.2106208982423
"IDP806","1",1020.8,24.1991455897987
"umc1111","1",1021.1,21.675265298567
"hon110","1",1023.27,21.6668529857852
"npi241a","1",1024.2,21.6657714057092
"IDP538","1",1024.98,22.5085623333525
"umc2241","1",1029.5,22.5074594139769
"umc1118","1",1032.8,24.6450687964352
"mtf1","1",1034.39,32.5185939324874
"AY110479","1",1038.2,14.3765022888165
"IDP1633","1",1041.69,12.9111782229629
"umc1744","1",1049.6,4.29799233922131
"IDP2440","1",1050.49,3.35793122217001
"IDP3868","1",1051.71,11.446801445818
"umc84a","1",1052.7,10.0410789957259
"umc86a","1",1053.2,5.854086617137
"gpm765c","1",1053.34,3.8113536865294
"AY106825","1",1054.4,2.07936965729459
"php15058","1",1056.3,9.63797609971516
"AY109128","1",1058.05,0.749711908305471
"IDP772","1",1058.06,0.755269375489661
"AY110160","1",1062.31,0.738749487065434
"AY112175","1",1062.32,0.738586017918351
"lim228","1",1090.92,12.2012236237351
"gpm548a","1",1093.89,0.845260782451078
"umc1331","1",1095.02,6.72934361402804
"csu1089","1",1096.52,0.0163197539077373
"fdx3","1",1096.92,0.0237034662877704
"umc2045","1",1097.82,0.0186389406590024
"cesa6","1",1100.02,0.0154788460895361
"gpm671a","1",1100.03,0.0155300018031994
"phi064","1",1101.53,0.37592879321528
"gpm469","1",1101.54,0.700411483156131
"IDP72","1",1102.87,1.56513271143012
"gpm308a","1",1104.3,2.73640182221425
"IDP1478","1",1108.73,0.128307309985757
"bnl6.32","1",1111.73,0.498857729080555
"IDP2400","1",1114.71,0.0954239373550081
"umc1605","1",1115.63,0.0949396464839083
"umc1819","1",1117.73,0.199241702221116
"umc2244","1",1118.83,0.212999418648906
"AY110983","1",1119.72,0.997050470872637
"AY109916","1",1136.43,1.73647483959394
"gpm201b","1",1140,2.14863777954633
"AY110535","2",1141,4.74489489466032
"umc2246","2",1144.1,8.76610421687838
"isu53a","2",1144.8,8.84202277995428
"gpm71","2",1149.61,9.39444032499159
"IDP53","2",1157.21,4.65748506360251
"IDP2371","2",1157.22,4.6572918919428
"gpm180b","2",1164.48,19.2597002171278
"isu144a","2",1168.41,13.2181406709369
"umc2245","2",1171.91,13.4696767108999
"IDP776","2",1175.26,10.6919861675633
"jpsb485b","2",1184.31,6.51432776531692
"IDP1702","2",1189.53,2.97473544629247
"IDP677","2",1191.59,7.5861575672352
"umc53a","2",1191.91,14.4100326947973
"gpm691b","2",1192.8,10.6352402464017
"gpm156a","2",1193.6,13.9031547898867
"npi254a","2",1196.61,24.575220135539
"umc1542","2",1198.61,10.326907091161
"bnlg1297","2",1200.91,26.383687206293
"bnlg1017","2",1206.71,29.2187727029795
"gpm86","2",1210.84,22.9808303806076
"IDP1683","2",1211.58,23.0005855869331
"umc1980","2",1216.61,7.15784334417185
"umc1265","2",1218.71,6.21556487594898
"gpm470","2",1222.89,5.86274903571575
"AY109603","2",1223.31,10.0415166104904
"BE640649","2",1228.81,7.4378063047061
"npi208c","2",1231.31,1.64827154058366
"IDP4073","2",1231.56,1.36921767122476
"gpm762a","2",1233,0.423969394038068
"umc1961","2",1233.01,0.424002239018591
"gpm273a","2",1233.23,0.424891445576577
"umc1824a","2",1233.61,0.424644492053631
"mmc0111","2",1234.31,0.161747562602613
"IDP232","2",1234.32,0.0964553040939791
"AY109516","2",1235.41,0.0640011568902992
"dmt102b","2",1235.44,2.88238898841701
"gpm914a","2",1243.54,2.83435664349236
"IDP2388","2",1249.3,5.1293111081668
"gpm398c","2",1255.38,0.228684592384525
"eks1","2",1263.41,9.34776635729577
"bnlg2277","2",1284.11,3.43395349070852
"gpm786","2",1284.34,3.33344841568032
"gpm575a","2",1284.4,3.92950551353533
"IDP4006","2",1287.92,6.41765348355329
"bnlg1327","2",1289.11,6.4176790197198
"myb5","2",1290.21,11.4570800062938
"IDP225","2",1292.04,1.03536267347044
"gpm77","2",1293.42,1.03954456734937
"umc1262a","2",1294.11,1.03786140722514
"umc1261a","2",1295.61,1.03737643006571
"gpm7","2",1298.15,1.05685343613732
"gpm216a","2",1302.04,1.65753470249729
"IDP2390","2",1304.33,5.07262286091282
"AY106040","2",1304.51,5.06770482888533
"gpm31a","2",1305.81,5.19915984280669
"umc6a","2",1305.82,5.20013148323233
"gpm753f","2",1314.25,6.99203758108342
"IDP591","2",1315.17,8.87381956634636
"IDP1954","2",1316.37,8.84778273985285
"IDP3802","2",1316.7,7.56932642217907
"IDP601","2",1318.06,5.36373715260743
"gpm359d","2",1319.74,6.29146656059675
"mmc0231a","2",1320.42,4.6352825172562
"umc44b","2",1323.32,6.11356541287023
"gpm651b","2",1325.03,1.68722651431381
"nfd102","2",1327.22,1.68073472401557
"gpm328b","2",1327.67,2.92695371728587
"gpm69","2",1332.52,0.660093268748824
"IDP668","2",1332.93,0.336771431015222
"umc61","2",1334.32,2.32966358814701
"umc2195","2",1337.35,0.887120284281991
"mmp33","2",1344.12,6.81606024464054
"psr901","2",1353.22,5.06560964593882
"ufg28b","2",1357.02,2.04097754402392
"ole1","2",1357.52,0.170035664001261
"npi587","2",1357.82,0.175805710528948
"mmp42","2",1359.72,0.732948738599589
"AI920398","2",1362.42,0.68705656498787
"sdg104","2",1364.27,1.53951900423635
"IDP2485","2",1367.02,0.583490904056816
"bnlg1064","2",1368.12,1.99290243140058
"AY107034","2",1371.08,1.19684720149962
"sdg107","2",1373.56,1.89946477226295
"AY104214","2",1377.42,5.68692430639021
"umc34","2",1384.32,4.34389268248742
"gpm106a","2",1385.12,3.28817827198509
"bnlg381","2",1385.72,3.26355081070142
"IDP1453","2",1386.26,3.26276307352964
"gpm117f","2",1387.42,3.26311579928552
"npi607","2",1388.22,2.19391044599797
"umc1024","2",1391.12,1.5446434286514
"gpm268a","2",1397.06,1.04847265481112
"AY103944","2",1398.22,0.98067682283363
"AY110266","2",1403.62,3.84484504925058
"sam2","2",1407.82,2.80254719749064
"IDP3858","2",1407.83,2.80201762436445
"isu58a","2",1408.52,2.80582390064956
"umc2248","2",1408.82,2.80295179903987
"umc259b","2",1409.42,2.36504588152638
"umc1448","2",1410.62,0.0147938104364584
"gpm460a","2",1411.99,0.000485636201119632
"hag103a","2",1413.22,0.000492048287924263
"umc1541","2",1415.92,0.0035695371680049
"mmp122","2",1416.62,0.00414375128821121
"IDP2407","2",1417,0.000556218839847133
"IDP3777","2",1420.37,2.16176413206995
"mmp167","2",1422.32,3.53674315817989
"prp2","2",1425.72,3.49916724721152
"gpm820d","2",1429.17,4.39528968742343
"umc134b","2",1429.82,13.8203514831894
"grf1","2",1433.52,13.845907283976
"gpm292b","2",1434.14,13.8292324288414
"lim86","2",1434.82,13.8325918866285
"bnlg1018","2",1435.22,13.8307754503694
"gpm119","2",1435.83,18.3609200824976
"bnlg1175","2",1436.12,18.3634704046563
"umc2251","2",1436.82,18.6237695643467
"AI714808","2",1437.13,15.5661656666725
"umc2249","2",1437.32,16.0227569769449
"mmp91","2",1443.62,7.93109451688179
"gpm594","2",1444.02,7.93845339015388
"IDP2346","2",1445.67,7.93512200463192
"bnlg108","2",1447.32,7.93631764251768
"IDP1415","2",1448.18,9.10606283594643
"umc2030","2",1454.52,16.8203253757638
"gpm300","2",1455.51,15.1829474023525
"npi242a","2",1456.02,15.1616732718139
"umc8b","2",1456.52,15.1590121535683
"umc2088","2",1457.72,15.1558119812125
"sdg102a","2",1458.12,15.346577145523
"bnlg121","2",1460.32,15.3659881278018
"gpm622b","2",1460.94,15.3520747384791
"umc2079","2",1461.72,15.3512046475371
"php10012","2",1462.02,15.3520853166447
"hrg1","2",1464.32,15.3418695163891
"IDP2455","2",1464.54,15.345823243124
"gpm67b","2",1466.57,17.0285439483832
"AY112119","2",1467.84,19.6009874716965
"umc2250","2",1470.02,24.4868443326377
"mmp89","2",1472.42,14.3345769393345
"umc2125","2",1473.22,19.6338867036138
"umc2007","2",1475.22,10.6250252688096
"gpm32","2",1475.38,10.6273238550293
"uaz262","2",1477.42,10.6766035798355
"gpm926c","2",1477.92,10.6635569798254
"IDP2468","2",1479.72,10.6199700798952
